Variable,Full Sample,Swhite,Sblack,Shisp,Sother
sblack,0.11055540931824165,0.0,1.0,0.0,0.0
shisp,0.10160568570676494,0.0,0.0,1.0,0.0
swhite,0.7391418794419584,1.0,0.0,0.0,0.0
sother,0.04869702553303501,0.0,0.0,0.0,1.0
smale,0.5296130560673862,0.5213675213675214,0.5190476190476191,0.5854922279792746,0.5621621621621622
sage,41.01000263227165,42.147792022792025,39.18333333333333,36.22538860103627,37.87027027027027
sempl,0.6954461700447486,0.6997863247863247,0.6880952380952381,0.6761658031088082,0.6864864864864865
sincome,2.164780205317189,2.218304843304843,1.9357142857142857,1.9974093264248705,2.2216216216216216
spop,1.36272703342985,1.271011396011396,1.6571428571428573,1.6528497409326426,1.481081081081081
daytime,0.666491181889971,0.6809116809116809,0.6214285714285714,0.6424870466321243,0.6
inctype_lin,1.9584101079231377,1.9576210826210827,1.9666666666666666,1.9533678756476685,1.962162162162162
omajblack,0.060805475125032905,0.04878917378917379,0.1595238095238095,0.046632124352331605,0.04864864864864865
omajhisp,0.023953672018952356,0.015313390313390313,0.04523809523809524,0.06994818652849741,0.010810810810810811
omajwhite,0.9036588575941037,0.9294871794871795,0.7738095238095238,0.8652849740932642,0.8864864864864865
omajother,0.011581995261911029,0.00641025641025641,0.02142857142857143,0.018134715025906734,0.05405405405405406
osplit,0.0,0.0,0.0,0.0,0.0
sbehavior,0.06501710976572782,0.05911680911680912,0.08333333333333333,0.07772020725388601,0.08648648648648649
year,2011.0,2011.0,2011.0,2011.0,2011.0
anyuseofforce_coded,0.005001316135825217,0.003205128205128205,0.007142857142857143,0.015544041450777202,0.005405405405405406
Number of Observations,3799.0,2808.0,420.0,386.0,185.0
